time,x,y,z,qx,qy,qz,qw
1744741388.1060808,-4.350298327569722e-34,9.614990693278327e-32,0.0,-2.1940014306848248e-23,1.4889438472449266e-25,0.9999769729734693,0.006786274590466343
1744741388.1272998,1.031200445508467e-06,-1.3996989507574765e-08,0.0,2.926174371739535e-14,-1.7463142445550952e-16,0.999976972973466,0.006786274590981251
1744741388.1482553,4.392694962620057e-06,-5.962419088366064e-08,0.0,1.1274697408495532e-13,8.85249561700019e-14,0.9999769729734643,0.006786274591228381
1744741388.1678362,1.1222281472448812e-05,-1.523254950708739e-07,0.0,3.0501436717015746e-13,4.488860125898555e-13,0.999976972973462,0.006786274591558553
1744741388.1881065,2.0170027185478696e-05,-2.7377760515662063e-07,0.0,5.519410789904899e-13,1.3185449474348846e-12,0.9999769729734604,0.006786274591786809
1744741388.2092068,3.172613426496343e-05,-4.306342733437813e-07,0.0,8.531146511816401e-13,2.5449652326391057e-12,0.9999769729734594,0.006786274591941127
1744741388.229969,4.589239314908974e-05,-6.229198024579099e-07,0.0,1.1906021223825596e-12,3.908410471104757e-12,0.9999769729734589,0.006786274592016844
1744741388.2532465,6.26688012920773e-05,-8.506341578940243e-07,0.0,1.5474162417665519e-12,5.626684018092056e-12,0.9999769729734591,0.006786274592002187
1744741388.2746372,8.309269043730242e-05,-1.12785754845447e-06,0.0,1.921419030638439e-12,7.78108798874165e-12,0.9999769729734598,0.006786274591890058
1744741388.2956355,0.00010521788459241948,-1.428173579839807e-06,0.0,2.256675105529607e-12,1.0126422393700489e-11,0.9999769729734611,0.0067862745916937766
1744741388.3181698,0.00012995321538416917,-1.7639182662691434e-06,0.0,2.5517225827182626e-12,1.254331706828255e-11,0.999976972973463,0.006786274591423553
1744741388.3363318,0.00015729867757671687,-2.1350915366843542e-06,0.0,2.7938840560090993e-12,1.5479315442800777e-11,0.9999769729734653,0.006786274591079613
