time,x,y,z,qx,qy,qz,qw
1744507307.3947444,62.20049428757262,-0.844278035698307,0.0,-1.654370675031562e-07,-1.1174015861793837e-05,0.999976972886711,0.0067862781732263055
1744507307.417734,62.25697638021513,-0.8450446950459817,0.0,-1.654928513251929e-07,-1.1182244866216656e-05,0.9999769728865926,0.006786278177078025
1744507307.4384768,62.31345929956858,-0.8458113656158749,0.0,-1.6554554720149166e-07,-1.1190473891093013e-05,0.999976972886491,0.006786278178511291
1744507307.4600012,62.369943041845076,-0.8465780473554188,0.0,-1.6559920774969752e-07,-1.1198702909724143e-05,0.9999769728864067,0.006786278177338257
1744507307.4826055,62.426427603273986,-0.8473447402134011,0.0,-1.6565582636742912e-07,-1.1206931908699334e-05,0.9999769728863094,0.006786278178087862
1744507307.5025709,62.48291298010192,-0.848111444140167,0.0,-1.6571076314563316e-07,-1.1215160918902994e-05,0.9999769728862038,0.006786278180058019
1744507307.5220397,62.53939916859253,-0.8488781590838809,0.0,-1.6576304190638912e-07,-1.1223389946913842e-05,0.9999769728861084,0.006786278180497212
1744507307.5474248,62.59588616502659,-0.8496448849938504,0.0,-1.6581752316770776e-07,-1.123161896014064e-05,0.999976972886025,0.006786278179183849
1744507307.567102,62.65237396570203,-0.8504116218207154,0.0,-1.658741323488337e-07,-1.1239847959114955e-05,0.9999769728859317,0.006786278179306414
1744507307.5867198,62.70886256693359,-0.8511783695143971,0.0,-1.659280334230355e-07,-1.1248076976336036e-05,0.9999769728858313,0.006786278180463461
1744507307.612926,62.7653519650528,-0.8519451280240711,0.0,-1.6598036283740014e-07,-1.1256306004098282e-05,0.9999769728857429,0.006786278179833312
1744507307.6349669,62.82184215640795,-0.8527118972999745,0.0,-1.6603571748209756e-07,-1.1264535011447014e-05,0.9999769728856537,0.006786278179321068
1744507307.6582801,62.87833313736405,-0.8534786772940132,0.0,-1.6609196799802257e-07,-1.1272764012661775e-05,0.9999769728855489,0.0067862781811184785
1744507307.680258,62.93482490430259,-0.8542454679576215,0.0,-1.6614498994535902e-07,-1.128099303555488e-05,0.9999769728854524,0.006786278181652484
1744507307.7000926,62.991317453621825,-0.8550122692397235,0.0,-1.6619781975797786e-07,-1.1289222059891003e-05,0.9999769728853636,0.006786278181041875
1744507307.7229288,63.0478107817363,-0.8557790810925351,0.0,-1.6625392899724694e-07,-1.1297451062167e-05,0.9999769728852708,0.0067862781810256664
1744507307.7457535,63.10430488507709,-0.8565459034684718,0.0,-1.6630953350092047e-07,-1.1305680067709172e-05,0.9999769728851627,0.006786278183235181
1744507307.7645729,63.16079976009138,-0.8573127363189534,0.0,-1.6636199461125203e-07,-1.1313909094338072e-05,0.9999769728850627,0.006786278184272993
1744507307.7881188,63.21729540324271,-0.8580795795947319,0.0,-1.6641567976200484e-07,-1.1322138112713356e-05,0.99997697288497,0.0067862781842194814
1744507307.8084238,63.27379181101072,-0.8588464332489092,0.0,-1.6647228454050825e-07,-1.1330367111435636e-05,0.999976972884865,0.006786278185948726
1744507307.830367,63.3302889798913,-0.8596132972351517,0.0,-1.6652708038703357e-07,-1.1338596122209666e-05,0.9999769728847541,0.006786278188549474
1744507307.8516822,63.38678690639611,-0.8603801715055556,0.0,-1.6657940995913032e-07,-1.1346825149708348e-05,0.9999769728846644,0.006786278188026793
1744507307.8711672,63.44328558705293,-0.8611470560112636,0.0,-1.6663415297209194e-07,-1.1355054161159294e-05,0.9999769728845753,0.006786278187372887
1744507307.8959775,63.499785018405355,-0.8619139507069873,0.0,-1.666909115344571e-07,-1.136328315898917e-05,0.9999769728844745,0.006786278188446004
1744507307.9174857,63.5562851970128,-0.862680855546615,0.0,-1.6674490019049407e-07,-1.1371512175383853e-05,0.9999769728843753,0.0067862781892935285
1744507307.9411287,63.61278611945024,-0.8634477704822193,0.0,-1.6679756670958128e-07,-1.1379741200706042e-05,0.9999769728842913,0.006786278187850715
1744507307.9617462,63.669287782308544,-0.8642146954672192,0.0,-1.6685338829704707e-07,-1.1387970204933443e-05,0.9999769728842072,0.0067862781864460936
1744507307.9812553,63.725790182193926,-0.8649816304569312,0.0,-1.669099487046304e-07,-1.13961992041516e-05,0.9999769728841105,0.006786278186888618
1744507308.0036945,63.782293315728275,-0.8657485754054216,0.0,-1.6696330370986774e-07,-1.1404428224874161e-05,0.9999769728840192,0.006786278186501383
1744507308.025196,63.838797179548806,-0.8665155302645628,0.0,-1.6701673508452604e-07,-1.1412657245046727e-05,0.9999769728839271,0.006786278186264465
1744507308.0451343,63.895301770308194,-0.8672824949908639,0.0,-1.6707347814509515e-07,-1.1420886242754384e-05,0.999976972883833,0.006786278186263355
1744507308.0697176,63.95180708467443,-0.8680494695403839,0.0,-1.6712955197521688e-07,-1.1429115244973109e-05,0.9999769728837348,0.006786278186891728
1744507308.0876105,64.00831311933085,-0.8688164538669513,0.0,-1.671825938489986e-07,-1.1437344267779712e-05,0.9999769728836467,0.00678627818597959
1744507308.1083534,64.0648198709757,-0.8695834479237584,0.0,-1.672371043638279e-07,-1.1445573280763475e-05,0.9999769728835569,0.006786278185349218
1744507308.1327012,64.12132733632228,-0.8703504516683361,0.0,-1.672944704183269e-07,-1.1453802274352519e-05,0.9999769728834602,0.006786278185705592
1744507308.1512864,64.17783551209918,-0.8711174650571127,0.0,-1.6734989349646195e-07,-1.1462031280923706e-05,0.9999769728833612,0.006786278186415008
1744507308.1730773,64.23434439504986,-0.8718844880445574,0.0,-1.6740303590451226e-07,-1.1470260302930888e-05,0.9999769728832762,0.00678627818503348
1744507308.1947238,64.29085398193259,-0.8726515205853426,0.0,-1.6745877315016024e-07,-1.1478489307602468e-05,0.9999769728831882,0.006786278184104242
1744507308.213999,64.34736426952051,-0.8734185626374537,0.0,-1.6751638382558402e-07,-1.1486718299472257e-05,0.9999769728830853,0.006786278185332565
1744507308.2359726,64.40387525460159,-0.8741856141584174,0.0,-1.675711521940845e-07,-1.149494731039422e-05,0.9999769728829907,0.006786278185325683
1744507308.2557912,64.46038693397831,-0.8749526751027619,0.0,-1.6762482915018332e-07,-1.1503176328862944e-05,0.99997697288291,0.006786278183265822
1744507308.2793696,64.51689930446781,-0.8757197454263532,0.0,-1.676817507411099e-07,-1.1511405325506276e-05,0.9999769728828162,0.006786278183142368
1744507308.3004532,64.57341236290176,-0.8764868250890653,0.0,-1.6773922279104267e-07,-1.1519634318279662e-05,0.9999769728827174,0.00678627818374232
1744507308.3203416,64.62992610612642,-0.877253914047501,0.0,-1.677934970190892e-07,-1.1527863332575114e-05,0.9999769728826275,0.0067862781830160274
1744507308.3444376,64.6864405310025,-0.8780210122570485,0.0,-1.6784808459281318e-07,-1.1536092344899393e-05,0.9999769728825448,0.006786278181198412
1744507308.3638768,64.74295563440495,-0.8787881196757269,0.0,-1.6790596885320913e-07,-1.1544321334945743e-05,0.9999769728824484,0.006786278181413789
1744507308.383679,64.79947141322302,-0.8795552362638204,0.0,-1.6796298825786003e-07,-1.1552550330659933e-05,0.999976972882352,0.006786278181618066
1744507308.408153,64.85598786436037,-0.8803223619775007,0.0,-1.6801706511959244e-07,-1.1560779346287102e-05,0.9999769728822633,0.006786278180649976
1744507308.4276247,64.9125049847347,-0.8810894967737858,0.0,-1.6807281226478547e-07,-1.1569008350778982e-05,0.9999769728821795,0.006786278179009103
1744507308.4471903,64.9690227712776,-0.8818566406120385,0.0,-1.6813130066878446e-07,-1.1577237336692135e-05,0.9999769728820797,0.006786278179663897
1744507308.4714308,65.02554122093494,-0.8826237934523562,0.0,-1.681876819744369e-07,-1.158546633660614e-05,0.9999769728819796,0.006786278180365541
1744507308.492483,65.08206033066651,-0.8833909552517293,0.0,-1.6824193874853844e-07,-1.1593695350908259e-05,0.999976972881891,0.006786278179381239
1744507308.512576,65.138580097446,-0.8841581259681475,0.0,-1.6829892006890326e-07,-1.160192434691996e-05,0.9999769728817982,0.006786278178960254
1744507308.534547,65.1951005182607,-0.8849253055628469,0.0,-1.6835758352311296e-07,-1.1610153331502467e-05,0.9999769728816962,0.006786278179938115
1744507308.554491,65.25162159011198,-0.8856924939955295,0.0,-1.684133032218776e-07,-1.1618382335866664e-05,0.9999769728815996,0.006786278180077113
1744507308.5771458,65.30814331001493,-0.8864596912236647,0.0,-1.6846812503948171e-07,-1.1626611346398354e-05,0.999976972881514,0.006786278178599663
1744507308.5971944,65.36466567499812,-0.8872268972066525,0.0,-1.685262244985229e-07,-1.1634840334901085e-05,0.9999769728814191,0.006786278178467104
1744507308.6162117,65.42118868210386,-0.8879941119059501,0.0,-1.6858464103857324e-07,-1.1643069321009474e-05,0.9999769728813072,0.006786278180853362
1744507308.641382,65.47771232838797,-0.8887613352825879,0.0,-1.6863983871832036e-07,-1.1651298328681627e-05,0.999976972881214,0.006786278180445923
1744507308.6629984,65.53423661091966,-0.889528567293828,0.0,-1.6869554263200196e-07,-1.1659527333187079e-05,0.999976972881125,0.006786278179450518
1744507308.6827877,65.59076152678165,-0.8902958079015201,0.0,-1.6875447119078908e-07,-1.1667756316014494e-05,0.99997697288103,0.006786278179283322
1744507308.706043,65.64728707306983,-0.8910630570679534,0.0,-1.6881230071101432e-07,-1.1675985306248123e-05,0.9999769728809361,0.006786278178968469
1744507308.7264607,65.70381324689357,-0.8918303147517818,0.0,-1.688672480119422e-07,-1.1684214315952795e-05,0.9999769728808471,0.0067862781779233295
1744507308.7487538,65.7603400453753,-0.8925975809127069,0.0,-1.6892401829120452e-07,-1.1692443313337639e-05,0.9999769728807558,0.006786278177201702
1744507308.767601,65.8168674656505,-0.8933648555136203,0.0,-1.6898336249179163e-07,-1.17006722931538e-05,0.9999769728806517,0.006786278178358083
1744507308.7870476,65.87339550486804,-0.8941321385169008,0.0,-1.6904040437252048e-07,-1.1708901288281987e-05,0.9999769728805453,0.006786278179828652
1744507308.8111331,65.92992416018963,-0.8948994298830667,0.0,-1.6909544764004634e-07,-1.171713029707518e-05,0.9999769728804597,0.0067862781782519485
1744507308.8304732,65.98645342879027,-0.8956667295721303,0.0,-1.6915329449173686e-07,-1.1725359287219368e-05,0.9999769728803685,0.006786278177477474
