time,x,y,z,qx,qy,qz,qw
1745000736.9393332,-4.350298327568138e-34,9.614990693278327e-32,0.0,-2.1940014306848257e-23,1.4889438472449262e-25,0.9999769729734693,0.006786274590466343
1745000736.9637668,1.031200445508467e-06,-1.3996989507574765e-08,0.0,2.926174371739535e-14,-1.7463142445550952e-16,0.999976972973466,0.006786274590981251
1745000736.9859526,4.392694962620033e-06,-5.962419088549345e-08,0.0,1.127126830491243e-13,8.347223528937949e-14,0.9999769729734643,0.0067862745912286035
1745000737.0080721,1.1222281472448717e-05,-1.5232549507809917e-07,0.0,3.048939204415163e-13,4.3113829973955564e-13,0.999976972973462,0.006786274591559219
1745000737.0314524,2.017002718547861e-05,-2.7377760516199193e-07,0.0,5.519137675678838e-13,1.3145205902147368e-12,0.9999769729734604,0.006786274591787477
1745000737.0570154,3.1726134264963745e-05,-4.30634273320454e-07,0.0,8.528676941735189e-13,2.508576399308554e-12,0.9999769729734594,0.0067862745919413485
1745000737.077253,4.589239314909012e-05,-6.229198024285626e-07,0.0,1.1909407530421744e-12,3.9583069878319585e-12,0.999976972973459,0.00678627459201418
1745000737.10103,6.266880129207758e-05,-8.506341578721934e-07,0.0,1.54761606529457e-12,5.65612770926979e-12,0.999976972973459,0.006786274591999524
1745000737.1223657,8.309269043730262e-05,-1.127857548437518e-06,0.0,1.9213910601900597e-12,7.776966746950524e-12,0.9999769729734598,0.0067862745918882824
1745000737.146442,0.00010521788459241969,-1.4281735798237844e-06,0.0,2.2565690484517354e-12,1.0110795286655542e-11,0.9999769729734611,0.006786274591692221
1745000737.1697166,0.00012995321538416963,-1.763918266232134e-06,0.0,2.553084705637704e-12,1.2744023883771334e-11,0.999976972973463,0.006786274591416447
1745000737.1967206,0.00015729867757671741,-2.135091536638917e-06,0.0,2.7950759903313915e-12,1.5654945643362718e-11,0.9999769729734653,0.006786274591073618
1745000737.2150128,0.00018725426538037315,-2.541693312564126e-06,0.0,2.9664241900031517e-12,1.831845368101684e-11,0.9999769729734679,0.006786274590691712
1745000737.2367864,0.00021981997245160048,-2.983723507831866e-06,0.0,3.0681705910727403e-12,2.2169160491590784e-11,0.9999769729734709,0.006786274590250963
1745000737.2606568,0.00025499579189301627,-3.4611820289793666e-06,0.0,3.0904867018929566e-12,2.639954903977911e-11,0.9999769729734741,0.006786274589791785
1745000737.282296,0.00029278171625340054,-3.974068774972022e-06,0.0,3.029503834840228e-12,3.0403918735479486e-11,0.999976972973477,0.006786274589349039
1745000737.3042195,0.00033317773752770263,-4.522383637215792e-06,0.0,2.89279753995418e-12,3.4588506858010814e-11,0.9999769729734799,0.006786274588931382
1745000737.3275626,0.0003761838471570476,-5.106126499568033e-06,0.0,2.6921612246489523e-12,3.934643506671639e-11,0.9999769729734825,0.006786274588546143
1745000737.3504388,0.000421800036028743,-5.725297238402965e-06,0.0,2.4372177084417924e-12,4.4191641012614946e-11,0.9999769729734848,0.006786274588219745
1745000737.3708549,0.0004700262944762858,-6.379895722608391e-06,0.0,2.1444509294019934e-12,4.9196257303660445e-11,0.9999769729734864,0.006786274587961958
