time,x,y,z,qx,qy,qz,qw
1744880589.08832,-0.000843594818759394,1.14477063212588E-05,0,-7.11402568655317E-06,-0.000341253764945587,0.99997692386397,0.0067849270306223
1744880589.11055,-0.000898871071419983,1.21978551467218E-05,0,-7.3809577691307E-06,-0.000355434153567365,0.999976918922199,0.00678492704091138
1744880589.13105,-0.000955829235837605,1.29708264314657E-05,0,-7.64784922445796E-06,-0.000369614516689342,0.999976913779379,0.00678492703638111
1744880589.15207,-0.00101446874430616,1.37666148035385E-05,0,-7.91473958054726E-06,-0.000383794854063197,0.999976908435422,0.00678492703003545
1744880589.17728,-0.00107478958903436,1.45852202152945E-05,0,-8.18162916864104E-06,-0.00039797516568943,0.999976902890329,0.00678492702198252
1744880589.19862,-0.00113679176217885,1.54266425631615E-05,0,-8.44851801045173E-06,-0.00041215545156497,0.999976897144101,0.00678492701222411
1744880589.22129,-0.00120047529137581,1.62908822231472E-05,0,-8.71540612187681E-06,-0.000426335711686882,0.99997689119674,0.00678492700075643
1744880589.24426,-0.00126584017175026,1.71779391300194E-05,0,-8.98229351352565E-06,-0.000440515946052339,0.999976885048246,0.00678492698756618
1744880589.26421,-0.00133288635565576,1.80878126381298E-05,0,-9.24918018969693E-06,-0.000454696154658552,0.999976878698621,0.00678492697264246
1744880589.28692,-0.00140161381218711,1.9020502329041E-05,0,-9.51606614834894E-06,-0.000468876337502778,0.999976872147865,0.00678492695597262
1744880589.31097,-0.0014720225081218,1.9976007752877E-05,0,-9.78295138206747E-06,-0.000483056494582309,0.99997686539598,0.00678492693754712
1744880589.33127,-0.00154411245422561,2.09543290567209E-05,0,-1.00498358798505E-05,-0.000497236625894462,0.999976858442967,0.00678492691736284
1744880589.35297,-0.00161788366754127,2.19554664728392E-05,0,-1.03167196294079E-05,-0.000511416731436559,0.999976851288827,0.00678492689541801
1744880589.3769,-0.00169333613853725,2.29794198728641E-05,0,-1.05836026195981E-05,-0.000525596811205917,0.999976843933561,0.00678492687171995
1744880589.39538,-0.00177046933631958,2.4026182053128E-05,0,-1.08504848426085E-05,-0.000539776865199827,0.99997683637717,0.00678492684627822
1744880589.41822,-0.00184928255998318,2.50957435027888E-05,0,-1.11173662955224E-05,-0.000553956893415549,0.999976828619656,0.0067849268191057
1744880589.44327,-0.0019297763753846,2.61881119019964E-05,0,-1.13842469810107E-05,-0.000568136895850305,0.999976820661018,0.00678492679021437
1744880589.46155,-0.0020119514082208,2.73032957430165E-05,0,-1.16511269070214E-05,-0.000582316872501278,0.999976812501259,0.00678492675961399
1744880589.48385,-0.00209580764775876,2.84412948812909E-05,0,-1.19180060854938E-05,-0.000596496823365631,0.999976804140379,0.00678492672731102
1744880589.5045,-0.00218134508284582,2.96021091666133E-05,0,-1.21848845302692E-05,-0.000610676748440509,0.999976795578379,0.00678492669330256
1744880589.52755,-0.00226856370254308,3.07857384517278E-05,0,-1.24517622544975E-05,-0.000624856647723066,0.999976786815262,0.00678492665758307
1744880589.55071,-0.00235746352626079,3.19921830012869E-05,0,-1.27186392679219E-05,-0.000639036521210479,0.999976777851026,0.00678492662013788
1744880589.57512,-0.0024480445825871,3.32214432045348E-05,0,-1.29855155744467E-05,-0.000653216368899965,0.999976768685674,0.00678492658094614
1744880589.59447,-0.00254030682645416,3.44735184511747E-05,0,-1.32523911703626E-05,-0.000667396190788794,0.999976759319208,0.0067849265399874
