time,x_d,y_d,z_d,x,y,z,qx,qy,qz,qw
3.60718745,3.5294681338826828,1.6511617588703866,-1.6412337435500168,0.0,-3.205292127747746e-32,0.0,-1.8251625838999487e-33,7.313506510578823e-24,4.3320714554569336e-30,1.0
3.6289186300000003,3.549792418879059,1.6593046435090628,-1.6390960872670612,-6.8792572617662135e-06,-1.6890619727606194e-09,0.0,1.741289029414898e-05,1.3963739152039022e-08,4.1955575068078036e-07,0.9999999998483075
3.6489788190000003,3.5685390167226965,1.6667935737702722,-1.6371231814452378,-2.680929862228275e-05,-4.990116197305753e-10,0.0,1.7288093076365677e-05,1.887372876001119e-08,4.018146204643956e-07,0.9999999998504799
3.6712812280000002,3.589364147558311,1.6750880758183242,-1.634930183463976,-5.978631964527914e-05,-5.987976634188855e-10,0.0,1.7163293779618835e-05,1.9314947957737028e-08,4.017462411769523e-07,0.9999999998526298
3.6931234300000004,3.6097422509106276,1.6831791202427269,-1.6327828776696975,-0.00010581527365845958,-6.370906038016751e-10,0.0,1.7038494506923845e-05,1.980622536973e-08,4.0147795362834334e-07,0.9999999998547641
3.712392609,3.62770550816043,1.6902903726941283,-1.6308888891840447,-0.00016489611214943144,-6.823758627226071e-10,0.0,1.6913695234933865e-05,2.0298126922813853e-08,4.0120820175588925e-07,0.9999999998568827
3.733385305,3.6472601421996718,1.6980091093036758,-1.6288258843726666,-0.00023702877275812986,-7.379724610900744e-10,0.0,1.6788895963473093e-05,2.0790382760828262e-08,4.0093862868385844e-07,0.9999999998589859
3.753696981,3.6661651094761054,1.7054489540375564,-1.6268301943296206,-0.0003222131792770304,-8.040087418418726e-10,0.0,1.6664096692583765e-05,2.12830433913814e-08,4.0066905312009176e-07,0.9999999998610735
3.774385924,3.685405665900933,1.7129980516853716,-1.6247978322371939,-0.00042044924165146857,-8.80479117062681e-10,0.0,1.65392974223134e-05,2.177605260419421e-08,4.003992709847458e-07,0.9999999998631454
3.7953858630000004,3.7049193135766103,1.720630633319892,-1.622735330302658,-0.0005317368559800212,-9.673727173966615e-10,0.0,1.6414498152704734e-05,2.2269258260575524e-08,4.001291341108964e-07,0.9999999998652018
3.8151252880000004,3.7232467659891926,1.7277774007522138,-1.6207970085164116,-0.000656075904514947,-1.0646788045254707e-09,0.0,1.6289698883789697e-05,2.2762454019949636e-08,3.9985859178979227e-07,0.9999999998672426
3.836952752,3.7434960053247623,1.7356487974338894,-1.6186540809349514,-0.000793466255662683,-1.1723870466217104e-09,0.0,1.6164899615586194e-05,2.325543630353534e-08,3.995877048627231e-07,0.9999999998692679
3.8559806520000004,3.7611335543908817,1.7424836380224797,-1.616786373120156,-0.0009439077639844048,-1.2904874730460596e-09,0.0,1.604010034809867e-05,2.374806048255015e-08,3.993166288340218e-07,0.9999999998712775
3.8762121030000003,3.779871773788628,1.7497231129006678,-1.6148009097302114,-0.0011074002701966406,-1.4189703200982857e-09,0.0,1.591530108132268e-05,2.424028058399533e-08,3.9904557084208976e-07,0.9999999998732717
3.8979200200000004,3.799960276658388,1.7574590529214764,-1.6126709881236978,-0.0012839436011719467,-1.5578258185514218e-09,0.0,1.5790501815251516e-05,2.473216163427427e-08,3.9877473263354865e-07,0.9999999998752502
3.9168342430000003,3.817448900632569,1.7641724171519166,-1.6108155480633686,-0.0014735375699396428,-1.7070439808553716e-09,0.0,1.5665702549883574e-05,2.5223861547893263e-08,3.9850425533980405e-07,0.9999999998772131
3.9377104170000004,3.8367357420985977,1.7715528383190855,-1.6087680494721346,-0.0016761819481303185,-1.6012017351897852e-09,0.0,1.5540903222698583e-05,2.5715580342726877e-08,3.987389030097495e-07,0.9999999998791603
3.9570889850000004,3.854624029432363,1.778376169756689,-1.606867814897178,-0.001891876426875529,-3.935162611511577e-10,0.0,1.5416103633538294e-05,2.6207496109635127e-08,4.010944212630486e-07,0.9999999998810911
3.9776420710000004,3.873580690875171,1.7855838641729533,-1.6048528121252907,-0.002120620755171295,2.1119580374801508e-09,0.0,1.529130373598211e-05,2.6699747826114797e-08,4.059456453893027e-07,0.9999999998830053
