time,x_d,y_d,x,y,qx,qy,qz,qw
0.015212854,0.04259598604753666,0.01597349368097857,0.6122159923814431,-1.5252343561422533e-08,-1.6989554831641035e-05,-7.496128598420443e-08,-4.201807725114452e-07,0.9999999998555864
0.035874687,0.10044905603105952,0.037668381758828424,0.6112156385342005,-4.830337800995037e-08,1.616034239631541e-05,-2.5131843914895377e-08,5.550216999630919e-07,0.9999999998692672
0.055746874,0.15609099366134538,0.05853406914223527,0.6102218555223654,-6.444964444253282e-08,-1.832034687272248e-05,2.571370880099423e-08,-3.210487561037816e-07,0.9999999998321305
0.076236063,0.21346032796892433,0.08004748621011133,0.6092346423322358,-1.2637712678295234e-07,-1.8055038750481745e-05,2.870406555409989e-08,-1.8949309407096917e-07,0.9999999998369894
0.096769094,0.27095213705130505,0.1016067716603908,0.6082539985727847,-2.3484919679670967e-07,-1.7789741608940757e-05,3.116898797668268e-08,3.539885365236447e-08,0.9999999998417614
0.117382517,0.3286686806332901,0.12325025595712884,0.6072799236844215,-3.893812310227894e-07,-1.752445608442963e-05,3.3631355512950324e-08,3.552076474144704e-07,0.9999999998463831
0.139132299,0.38956649566487656,0.14608660446070673,0.6063124171109235,-5.893983211312712e-07,-1.7259182539770766e-05,3.6095089068300335e-08,7.685824103505076e-07,0.9999999998507643
0.159028361,0.44527352500865897,0.16697633035182868,0.6053514782994321,-8.343221191285622e-07,-1.6993920806256756e-05,3.856012051190931e-08,1.2741606024623602e-06,0.9999999998547908
0.178788096,0.5005983051383271,0.18772260023080486,0.6043971067004603,-1.1235759504712713e-06,-1.672867070475301e-05,4.10261987073033e-08,1.870590737605058e-06,0.9999999998583253
0.199209077,0.5577738462888236,0.20916275198045967,0.6034493017679018,-1.4565850629704374e-06,-1.646343206362367e-05,4.34929373258985e-08,2.556532387846499e-06,0.9999999998612088
0.219241435,0.6138605957595589,0.2301944703193015,0.6025080629590385,-1.8327766676922584e-06,-1.6198204712962442e-05,4.595995196208767e-08,3.3306560601923493e-06,0.9999999998632614
0.238969221,0.669093847568324,0.2509059802153795,0.6015733897345497,-2.2515799712339793e-06,-1.5932988484264825e-05,4.8427039050749175e-08,4.191643202540492e-06,0.9999999998642838
0.260988851,0.7307427665880091,0.2740230497673678,0.6006452815585197,-2.712426207543277e-06,-1.5667783210508365e-05,5.089428424664397e-08,5.138186341498517e-06,0.9999999998640585
0.281385295,0.7878462211927997,0.2954354555041956,0.5997237378984447,-3.214748669580273e-06,-1.5402588726184125e-05,5.33620157683788e-08,6.1689892650199816e-06,0.9999999998623504
0.301663878,0.8446186842619756,0.316723532554936,0.598808758225242,-3.7579827407187315e-06,-1.5137404867312301e-05,5.5830606461237914e-08,7.282767120939039e-06,0.9999999998589085
0.321753324,0.9008605605346517,0.33781242796157346,0.5979003420132576,-4.3415659257451646e-06,-1.4872231471434633e-05,5.8300224742198185e-08,8.478246338536396e-06,0.9999999998534663
0.345527869,0.9674176628143751,0.36276888954965736,0.5969984887402737,-4.964937881375452e-06,-1.46070683775819e-05,6.077067859497788e-08,9.754164378983368e-06,0.9999999998457431
0.36657068,1.026325818675153,0.38485697700556,0.5961031978875159,-5.6275404463263324e-06,-1.4341915426230198e-05,6.324145582801655e-08,1.1109269426045449e-05,0.9999999998354447
0.388211136,1.0869055605405324,0.4075715253460712,0.5952144689396599,-6.3288176710856364e-06,-1.407677245926766e-05,6.57119553925528e-08,1.2542320176110213e-05,0.9999999998222652
0.409986627,1.1478617045412733,0.43042686680884407,0.5943323013848405,-7.068215847554319e-06,-1.381163931998839e-05,6.818178905956281e-08,1.4052085842089783e-05,0.9999999998058864
0.431443208,1.2079234544750035,0.452946505512038,0.593456694714657,-7.845183538661166e-06,-1.3546515853114945e-05,7.065097964428324e-08,1.56373463681344e-05,0.9999999997859801
0.449040952,1.2571821622208952,0.47141536228205777,0.5925876484241818,-8.659171607913104e-06,-1.3281401904832665e-05,7.311992838637007e-08,1.729689272611755e-05,0.9999999997622082
0.470449432,1.3171060370944279,0.4938826245778224,0.591725162011966,-9.509633248717906e-06,-1.3016297322810041e-05,7.558915028930986e-08,1.902952710513968e-05,0.9999999997342237
0.492486495,1.3787873828334283,0.5170083982106464,0.5908692349800465,-1.0396024013277759e-05,-1.2751201956184954e-05,7.80589134763698e-08,2.083406285247311e-05,0.9999999997016712
0.513156625,1.4366408008054188,0.5386985902724044,0.5900198668339535,-1.1317801840930666e-05,-1.2486115655515356e-05,8.05289867642765e-08,2.2709324158699577e-05,0.9999999996641885
0.53257094,1.4909775792530406,0.5590699671462385,0.5891770570827172,-1.2274427085973788e-05,-1.2221038272713864e-05,8.299865361189751e-08,2.4654145628893115e-05,0.9999999996214062
0.552084311,1.545589819633761,0.5795442426361446,0.5883408052388731,-1.3265362545152371e-05,-1.1955969660996969e-05,8.5467009044355e-08,2.666737195966523e-05,0.9999999995729494
0.573112826,1.6044404386501658,0.6016070613413484,0.5875111108184699,-1.4290073485052147e-05,-1.1690909674873072e-05,8.793339454984308e-08,2.874785789856542e-05,0.9999999995184378
0.595379251,1.66675305836365,0.6249672556707999,0.5866879733410737,-1.5348027669554635e-05,-1.1425858170172472e-05,9.039773615194356e-08,3.0894468514582456e-05,0.9999999994574867
0.617043272,1.727377363263274,0.6476939980267845,0.5858713923297767,-1.6438695387341243e-05,-1.1160815004097621e-05,9.286058900060025e-08,3.310607963435342e-05,0.9999999993897075
0.636606908,1.7821217969175043,0.6682160432511057,0.5850613673112018,-1.7561549479256654e-05,-1.0895780035258499e-05,9.532284400257983e-08,3.538157819592185e-05,0.9999999993147084
0.657972316,1.841905638244441,0.6906266950975546,0.5842578978155092,-1.8716065365264967e-05,-1.0630753123663463e-05,9.778523845759847e-08,3.7719862303062656e-05,0.9999999992320947
