time,x_d,y_d,x,y,qx,qy,qz,qw
0.006818855,0.027275418647232777,0.010228281707362959,-0.18532835177417,-7.004424825340055e-09,-1.69895526329443e-05,-7.495883543106368e-08,-4.3744778509014416e-07,0.9999999998555791
0.028269965,0.11307976360280071,0.042404891017274154,-0.18601036842848426,-3.6466323506338373e-08,-1.672559904742609e-05,-7.350892299479358e-08,-3.7554562432855985e-07,0.999999999860054
0.047929843,0.1917189022071369,0.07189448923085809,-0.1866858384183789,-8.810168502781608e-08,-1.646165050214835e-05,-7.212877672499185e-08,-2.6813908080400745e-07,0.9999999998644684
0.069225986,0.27690252854684905,0.10383814963363476,-0.1873547621344492,-1.6151366960517681e-07,-1.619770745745562e-05,-7.074876371944052e-08,-1.157828835063787e-07,0.9999999998688079
0.088507873,0.3540285337604552,0.1327600761589608,-0.18801713996367123,-2.5629249000100533e-07,-1.5933770064203272e-05,-6.936842704536963e-08,8.062108572398412e-08,0.9999999998730518
0.110359005,0.4414302853046554,0.1655351473343128,-0.18867297228939847,-3.7203057956912595e-07,-1.5669838206982615e-05,-6.79876917325851e-08,3.2017800430581e-07,0.9999999998771745
0.130865373,0.5234519297393643,0.19629245663018036,-0.18932225949135767,-5.083234162400818e-07,-1.5405911769346376e-05,-6.660643081071295e-08,6.020029205478006e-07,0.9999999998811455
0.151070453,0.6042671016116652,0.22659706016724343,-0.18996500194564386,-6.647695773118449e-07,-1.5141990639235822e-05,-6.522454138651531e-08,9.252207710746856e-07,0.9999999998849299
0.170846015,0.68336278354749,0.25625655589410595,-0.19060120002471623,-8.409707615560932e-07,-1.4878074705955925e-05,-6.384201901870875e-08,1.2889663120745927e-06,0.9999999998884886
0.19298971,0.7719281719615289,0.2894665955666776,-0.19123085409739363,-1.0365318097154163e-06,-1.4614163860035965e-05,-6.245898061428084e-08,1.6923840064679818e-06,0.9999999998917791
0.214960864,0.8598010760451015,0.3224164642017154,-0.1918539645288505,-1.251060724688828e-06,-1.4350257993248386e-05,-6.107561596917796e-08,2.1346279186630406e-06,0.9999999998947549
0.233798578,0.9351397856138959,0.35066591825999127,-0.19247053168061243,-1.484168691511502e-06,-1.4086356998603275e-05,-5.969209305308931e-08,2.6148616685832275e-06,0.9999999998973668
0.25353053,1.0140525902648803,0.3802550553921884,-0.19308055591055237,-1.7354700971698523e-06,-1.3822460770350569e-05,-5.830847426371319e-08,3.1322584634023994e-06,0.9999999998995626
0.275264354,1.1009684286835903,0.41284439070542206,-0.19368403757288627,-2.0045825502487916e-06,-1.3558569203989496e-05,-5.6924699111385145e-08,3.686001177313876e-06,0.9999999999012876
0.295588695,1.1822445905455716,0.4433184793819449,-0.1942809770181693,-2.2911269003644047e-06,-1.3294682196277436e-05,-5.5540651511834626e-08,4.275282416055721e-06,0.9999999999024851
0.318999419,1.2758591777617592,0.47841797867496144,-0.1948713745932917,-2.5947272573180253e-06,-1.3030799645229622e-05,-5.415627757812459e-08,4.899304506218783e-06,0.9999999999030961
0.338397341,1.3534240332536953,0.5074991400126058,-0.19545523064147508,-2.9150110099298144e-06,-1.2766921450105892e-05,-5.277168391006679e-08,5.557279390642213e-06,0.9999999999030598
0.360497986,1.4417920594704616,0.5406298618981841,-0.1960325455022686,-3.251608844561012e-06,-1.2503047511388999e-05,-5.138715050033075e-08,6.248428468137311e-06,0.9999999999023141
0.38219409,1.5285381717596649,0.5731515752474344,-0.1966033195115451,-3.6041547633849905e-06,-1.223917773076381e-05,-5.0003037389851754e-08,6.971982454798122e-06,0.9999999999007957
0.401442686,1.6054947262777353,0.6020023045572653,-0.1971675530014976,-3.972286102487005e-06,-1.197531201110827e-05,-4.861962622805664e-08,7.727181340071154e-06,0.9999999998984401
0.423437534,1.6934262204091337,0.6349665128337977,-0.1977252463006358,-4.355643549846746e-06,-1.1711450256500121e-05,-4.723698106667681e-08,8.513274462487827e-06,0.999999999895182
0.44360308,1.7740398896839367,0.6651864068411905,-0.19827639973378197,-4.753871163198155e-06,-1.1447592372234963e-05,-4.5854909884971e-08,9.329520662720195e-06,0.9999999998909553
0.466983478,1.8674994388382302,0.7002206528744814,-0.1988210136220683,-5.166616387700454e-06,-1.118373826484395e-05,-4.4473057721416795e-08,1.0175188423566251e-05,0.9999999998856938
0.485579013,1.9418275845031325,0.7280823202231389,-0.19935908828293278,-5.593530073328063e-06,-1.0919887842098817e-05,-4.309109003415261e-08,1.1049555907001664e-05,0.9999999998793307
0.507149464,2.0280413614914954,0.7603981400944664,-0.19989062403011607,-6.034266491912447e-06,-1.0656041012998157e-05,-4.170887143698044e-08,1.1951910850447014e-05,0.9999999998717994
0.526674472,2.1060746169271436,0.7896465283395324,-0.20041562117365816,-6.48848335383423e-06,-1.0392197687739256e-05,-4.032654217145334e-08,1.2881550361126412e-05,0.9999999998630331
0.547955677,2.19112079501089,0.8215222605853473,-0.20093408001989507,-6.9558418244333984e-06,-1.0128357777688e-05,-3.894444705175871e-08,1.38377807063261e-05,0.9999999998529653
0.567873824,2.270714029055466,0.8513529889712484,-0.20144600087145564,-7.436006540239756e-06,-9.864521195361394e-06,-3.7562952212403975e-08,1.4819917203963272e-05,0.9999999998415299
0.589736257,2.3580700162836954,0.8840917154178694,-0.20195138402725848,-7.928645625103612e-06,-9.6006878544302e-06,-3.6182249376347706e-08,1.5827284265797312e-05,0.9999999998286613
0.609593121,2.437406083281821,0.9138234689539427,-0.202450229782509,-8.43343070623833e-06,-9.336857669738061e-06,-3.480225824488401e-08,1.6859215561653514e-05,0.9999999998142943
0.631777921,2.5260358962931915,0.9470365824268634,-0.2029425384286961,-8.950036930109192e-06,-9.073030557323991e-06,-3.342268640831004e-08,1.79150542033199e-05,0.999999999798365
0.650991642,2.6027896233012155,0.9757978995694273,-0.20342831025358935,-9.478142978060706e-06,-8.809206434432318e-06,-3.20432191407854e-08,1.8994152831398383e-05,0.9999999997808096
0.671617352,2.685177023466678,1.0066688329191629,-0.20390754554123583,-1.0017431081592315e-05,-8.545385219500914e-06,-3.066373622065105e-08,2.0095873538376924e-05,0.9999999997615656
0.691668786,2.765263527390492,1.0366761311161952,-0.20438024457195766,-1.0567587037263154e-05,-8.281566832130594e-06,-2.9284432455795054e-08,2.1219587651123144e-05,0.999999999740572
0.712874531,2.8499526653632214,1.0684063371608068,-0.20484640762234888,-1.1128300221291347e-05,-8.017751193049594e-06,-2.7905766720012942e-08,2.236467547692933e-05,0.9999999997177681
0.734253157,2.9353239328454355,1.1003903617003286,-0.20530603496527272,-1.1699263603965388e-05,-7.753938224090895e-06,-2.6528256844096615e-08,2.3530526143351313e-05,0.999999999693095
0.754139094,3.0147267427633033,1.1301367000174916,-0.20575912686985895,-1.2280173763973294e-05,-7.490127848193501e-06,-2.51522246592799e-08,2.4716537616539955e-05,0.9999999996664951
0.77519419,3.098789582191995,1.161627048942966,-0.20620568360150124,-1.287073090268421e-05,-7.226319989425993e-06,-2.3777628139269832e-08,2.5922116888158776e-05,0.9999999996379118
0.794863998,3.177313696429728,1.1910408884371195,-0.20664570542185462,-1.3470638858324498e-05,-6.962514573018191e-06,-2.2404075751208898e-08,2.714668022806176e-05,0.9999999996072904
0.817359585,3.267108986784021,1.2246746862213382,-0.20707919258883273,-1.4079605119926996e-05,-6.698711525381479e-06,-2.103102235027203e-08,2.8389653360200356e-05,0.9999999995745772
0.836449076,3.34329992799951,1.2532110778879624,-0.2075061453566053,-1.469734084093445e-05,-6.434910774104189e-06,-1.96580473514073e-08,2.9650471456413144e-05,0.9999999995397205
0.858618228,3.431772770204927,1.2863454376034782,-0.20792656397559584,-1.532356085240622e-05,-6.171112247921809e-06,-1.8285068710048254e-08,3.0928578938686094e-05,0.99999999950267
0.87935289,3.5145110735791407,1.3173300677738369,-0.20834044869247906,-1.5957983675875008e-05,-5.907315876675758e-06,-1.691237782812805e-08,3.222342918405516e-05,0.9999999994633769
0.90088498,3.600421145589156,1.3495003300635358,-0.2087477997501785,-1.6600331535974513e-05,-5.64352159128129e-06,-1.5540475556060836e-08,3.353448428088029e-05,0.9999999994217944
0.921377383,3.682173091562145,1.38011142764543,-0.2091486173878644,-1.725033037296733e-05,-5.379729323720128e-06,-1.4169797337117578e-08,3.486121495964847e-05,0.999999999377877
0.943609211,3.7708530628040187,1.4133142812343853,-0.2095429018409512,-1.790770985524023e-05,-5.115939007060109e-06,-1.2800477336386931e-08,3.620310072800163e-05,0.9999999993315812
0.963567413,3.850453672841729,1.4431155678624614,-0.20993065334109565,-1.857220339173332e-05,-4.852150575488941e-06,-1.1432282219112746e-08,3.755963012818295e-05,0.9999999992828653
0.98420226,3.932742667404613,1.473921165210778,-0.2103118721161941,-1.924354814418682e-05,-4.5883639643409555e-06,-1.0064753944798622e-08,3.8930300966384906e-05,0.9999999992316893
1.004818512,4.014946805042345,1.5046927348444414,-0.21068655839038097,-1.9921485039069637e-05,-4.3245791100992425e-06,-8.697486181745197e-09,4.0314620376175365e-05,0.9999999991780146
1.026537048,4.1015343135499105,1.5371026403471597,-0.21105471238402615,-2.0605758779110236e-05,-4.060795950369241e-06,-7.330383260194698e-09,4.1712104666970894e-05,0.999999999121805
1.046794144,4.182284194874134,1.5673251518045155,-0.2114163343137332,-2.1296117854452042e-05,-3.7970144238358696e-06,-5.963756324437264e-09,4.3122279026255204e-05,0.9999999990630258
1.067825847,4.266110230018865,1.5986965289793875,-0.21177142439233715,-2.199231455354771e-05,-3.533234470226266e-06,-4.59819705640071e-09,4.4544677226936516e-05,0.9999999990016439
1.087914912,4.346167920008825,1.6286552440970052,-0.21211998282890285,-2.2694104973937376e-05,-3.269456030297483e-06,-3.234289733647411e-09,4.5978841492889556e-05,0.9999999989376284
1.109512333,4.432224089145364,1.660856027513177,-0.21246200982872293,-2.340124903300777e-05,-3.0056790458556146e-06,-1.8723123336330558e-09,4.742432259377767e-05,0.9999999988709497
1.130342603,4.515210969019136,1.6919056858176815,-0.21279750559331587,-2.4113510478726917e-05,-2.741903459795207e-06,-5.120872262608594e-10,4.8880680117792006e-05,0.9999999988015805
1.151375918,4.5989940479978095,1.7232505542532994,-0.2131264703204242,-2.4830656900248127e-05,-2.4781292161364343e-06,8.469351280909967e-10,5.034748277389117e-05,0.9999999987294949
1.171152353,4.6777586594336675,1.7527154076070826,-0.21344890420401275,-2.555245973823305e-05,-2.2143562600383203e-06,2.2053997178839473e-09,5.182430855666892e-05,0.9999999986546688
1.192926422,4.764465798867062,1.7851485969855299,-0.21376480743426696,-2.6278694294780893e-05,-1.9505845377789448e-06,3.563721835721074e-09,5.3310744678344294e-05,0.9999999985770799
1.214297855,4.849555533295995,1.8169738175112666,-0.21407418019759092,-2.7009139742950567e-05,-1.6868139967118783e-06,4.921884806050547e-09,5.480638729616157e-05,0.9999999984967073
1.235538655,4.934111110624979,1.8485962836228444,-0.21437702267660594,-2.774357913596972e-05,-1.4230445852212291e-06,6.279467441028593e-09,5.631084117333079e-05,0.999999998413532
1.257355745,5.020945954037067,1.881068023402769,-0.21467333505014885,-2.8481799416281836e-05,-1.159276252698492e-06,7.635885203601504e-09,5.782371944794788e-05,0.9999999983275367
1.280496028,5.1130305561460805,1.9154993660617141,-0.21496311749327054,-2.9223591424557112e-05,-8.955089495529783e-07,8.99071393729562e-09,5.934464362672591e-05,0.9999999982387056
1.299009971,5.186692466149874,1.9430396172230795,-0.21524637017723425,-2.996874990869902e-05,-6.317426272486734e-07,1.0343920067344484e-08,6.087324379919369e-05,0.9999999981470244
1.319531017,5.268326787443405,1.9735577303579503,-0.21552309326951433,-3.0717073532766794e-05,-3.679772383457189e-07,1.1695871352882326e-08,6.24091589483858e-05,0.9999999980524806
1.339022513,5.345852333828228,2.00253704225236,-0.21579328693379451,-3.146836488566609e-05,-1.0421273652191116e-07,1.304712118008668e-08,6.395203718084468e-05,0.999999997955063
1.360878655,5.432767563320466,2.0350229778947253,-0.2160569513299666,-3.222243048947293e-05,1.5955092343954608e-07,1.439808311430564e-08,6.550153574142762e-05,0.9999999978547616
1.38141569,5.514421974556324,2.0655393993739297,-0.21631408661412915,-3.297908080734418e-05,4.2331378569086926e-07,1.5748773867195625e-08,6.705732079467882e-05,0.9999999977515681
1.401967773,5.596121314383237,2.096069459572271,-0.216564692938586,-3.373813025108211e-05,6.870758933678053e-07,1.7098768047032436e-08,6.861906708199222e-05,0.9999999976454756
1.422034967,5.675878511891062,2.125870676849407,-0.21680877045184502,-3.44993971884995e-05,9.508372886190927e-07,1.8447394963548715e-08,7.01864576334388e-05,0.9999999975364784
1.443976407,5.7630681642046095,2.158445481722761,-0.217046319298617,-3.526270395073131e-05,1.214598012600866e-06,1.9794076847778375e-08,7.17591836866424e-05,0.9999999974245719
1.464100727,5.8430214426149325,2.188313412975389,-0.21727733961981435,-3.602787683955894e-05,1.4783581054388874e-06,2.113862978323711e-08,7.333694485584884e-05,0.9999999973097533
1.48483048,5.925364249802892,2.2190706426807822,-0.2175018315525497,-3.679474613469603e-05,1.742117606179178e-06,2.2481366099784593e-08,7.491944946058132e-05,0.9999999971920203
1.504132925,6.002022851502282,2.2477015705481747,-0.21771979523013513,-3.756314610089517e-05,2.0058765527544647e-06,2.3822941364675717e-08,7.650641483694369e-05,0.9999999970713722
1.527669964,6.095479526783151,2.2826022438989715,-0.21793123078208085,-3.8332914994720757e-05,2.269634981985521e-06,2.5164024856176404e-08,7.809756746258463e-05,0.9999999969478091
1.546521814,6.170317518266198,2.3105466175856106,-0.21813613833409407,-3.910389507090361e-05,2.533392929617553e-06,2.650496669788301e-08,7.969264282488869e-05,0.9999999968213319
1.569731306,6.262435164323174,2.344939099366119,-0.21833451806596277,-3.987544949174788e-05,2.7971505581393345e-06,2.7845640275097185e-08,8.129038660213022e-05,0.9999999966920241
1.58893604,6.3386417590157675,2.3733876751201146,-0.2185263702430678,-4.064629417499739e-05,3.060908202227624e-06,2.9185539015766952e-08,8.288819977261587e-05,0.9999999965600882
1.610050927,6.422410785392292,2.4046557136563114,-0.21871169497558013,-4.1416343497564923e-05,3.3246658786910957e-06,3.052406119713019e-08,8.448596742247568e-05,0.9999999964255335
1.62972374,6.500442190038901,2.4337786082143666,-0.21889049236192026,-4.218556655826897e-05,3.588423589712485e-06,3.186085230052409e-08,8.608368919352653e-05,0.9999999962883603
1.651801603,6.587993943311171,2.466450626260727,-0.2190627624970442,-4.2953932542317564e-05,3.852181337513931e-06,3.3195996170089285e-08,8.768136468408511e-05,0.9999999961485689
1.671038647,6.66426342750049,2.494908850593532,-0.2192285054724433,-4.37214106397924e-05,4.115939124316807e-06,3.452996005848097e-08,8.927899372506447e-05,0.9999999960061595
1.693300661,6.752506355785294,2.5278305175633755,-0.21938772137614437,-4.448797004251527e-05,4.37969695233249e-06,3.58633247489927e-08,9.087657658333872e-05,0.9999999958611324
1.712460062,6.8284339032155765,2.55615393223479,-0.21954041029271026,-4.5253579943902114e-05,4.643454823790961e-06,3.719644695830689e-08,9.24741139235115e-05,0.9999999957134876
1.735116517,6.918199348546626,2.5896349383614767,-0.21968657230323985,-4.601820953873142e-05,4.907212740991568e-06,3.852923842955333e-08,9.407160654614487e-05,0.9999999955632253
1.753745364,6.991990296171428,2.617154119591662,-0.21982620748536807,-4.67818280228026e-05,5.1709707063480615e-06,3.986118410736771e-08,9.566905504213001e-05,0.9999999954103457
1.774003783,7.072218529019746,2.6470702492477645,-0.21995931591326612,-4.754440459264172e-05,5.434728722402392e-06,4.119159368422971e-08,9.726645954930844e-05,0.999999995254849
1.793660787,7.1500472584281205,2.676087870341919,-0.2200858976576419,-4.83059084453926e-05,5.698486791799045e-06,4.251995521019467e-08,9.886381974411756e-05,0.9999999950967353
1.813850789,7.229967898105009,2.7058815360128055,-0.22020595278573996,-4.9066308778930716e-05,5.962244917232683e-06,4.384620368828895e-08,0.00010046113507627028,0.999999994936005
1.834873996,7.313166669796544,2.736893008470051,-0.22031948136134144,-4.982557479211649e-05,6.226003101397176e-06,4.5170761641873734e-08,0.00010205840512495689,0.9999999947726584
1.857285558,7.401837032462461,2.769939128284513,-0.2204264834447645,-5.058367568502926e-05,6.489761346963465e-06,4.6494329147836705e-08,0.00010365562989000212,0.9999999946066956
1.878980401,7.487649066141574,2.8019151864187317,-0.22052695909286446,-5.134058065903381e-05,6.753519656598396e-06,4.781753348849053e-08,0.0001052528098656621,0.9999999944381169
1.901172707,7.57540543222865,2.8346108100248797,-0.22062090835903372,-5.209625891662286e-05,7.017278033014576e-06,4.914062257741172e-08,0.00010684994586002928,0.9999999942669223
1.92276563,7.660768705619731,2.8664099722492633,-0.220708331293202,-5.285067966110034e-05,7.281036479024341e-06,5.046336220961041e-08,0.00010844703865777888,0.9999999940931119
1.948025144,7.760598077859253,2.903591825962947,-0.22078922794183634,-5.360381209625565e-05,7.544794997568647e-06,5.1785187974401365e-08,0.00011004408870628352,0.999999993916686
1.964288524,7.824856640018655,2.9275216350583184,-0.22086359834794136,-5.4355625426181876e-05,7.808553591705251e-06,5.310552682652759e-08,0.0001116410959911216,0.9999999937376447
1.985887439,7.9101760446402105,2.9592901271783454,-0.22093144255105931,-5.5106088855310524e-05,8.072312264563092e-06,5.44241134854021e-08,0.0001132380601644159,0.9999999935559883
2.007043743,7.993724165592847,2.9903942274522795,-0.22099276058727005,-5.585517158861497e-05,8.336071019288098e-06,5.574113096564845e-08,0.0001148349808533365,0.9999999933717171
2.028053726,8.076671790909279,3.0212699600629085,-0.2210475524891912,-5.6602842831842456e-05,8.599829859010818e-06,5.7057100228931543e-08,0.00011643185797945767,0.9999999931848311
2.04820185,8.156195358713978,3.0508666014567396,-0.22109581828597805,-5.7349071791618856e-05,8.863588786854077e-06,5.837257975090709e-08,0.00011802869191421803,0.9999999929953307
2.06992706,8.241919851383434,3.0827660271277284,-0.221137558003324,-5.809382767534117e-05,9.127347805977355e-06,5.96878388149926e-08,0.00011962548338436798,0.9999999928032159
2.091404138,8.32664078106025,3.1142868158679042,-0.22117277166346028,-5.8837079690890584e-05,9.391106919633329e-06,6.100268325970268e-08,0.0001212222331764054,0.9999999926084868
2.113081299,8.41212605455861,3.146086689078401,-0.2212014592851561,-5.9578797046298534e-05,9.65486613120578e-06,6.231653112049692e-08,0.0001228189417981209,0.9999999924111437
2.133025615,8.49075540319335,3.175331465901097,-0.22122266726040393,-6.028197880389325e-05,9.905437476103538e-06,6.356313712565443e-08,0.0001243357768044066,0.9999999922212466
2.156032591,8.581432255357209,3.2090513901669606,-0.22123862412787404,-6.102061374887511e-05,1.0169196888802727e-05,6.487330606814199e-08,0.0001259324047648174,0.9999999920188064
2.177575893,8.666314014028012,3.240610700386016,-0.22124835084076117,-6.179442927717289e-05,1.044614438897731e-05,6.624675159131041e-08,0.0001276088185548507,0.9999999918034317
2.196129971,8.739397448162622,3.267778974075635,-0.22125044763636967,-6.216227102058964e-05,1.0578024194273105e-05,6.69001117401763e-08,0.0001284070938936128,0.9999999916998596
2.21826495,8.826560641845143,3.3001759482814683,-0.22124691949059005,-6.326326405411197e-05,1.0973663782885104e-05,6.88588153233583e-08,0.0001308018571693244,0.9999999913852242
2.240105273,8.912536411874378,3.3321258137286165,-0.22123712255009678,-6.395857346055319e-05,1.1224235660464016e-05,7.009890583576224e-08,0.0001323184923750977,0.9999999911829143
2.261027002,8.994870568085597,3.3627169789186104,-0.22121944474033348,-6.47252369044199e-05,1.150118365427656e-05,7.146940500365109e-08,0.00013399473063043844,0.999999990956565
2.279940247,9.069278973662156,3.3903587313424275,-0.22119592436697763,-6.545356885174172e-05,1.1764943778309746e-05,7.277418269846424e-08,0.00013559110692713962,0.9999999907383165
2.302302277,9.157228773726853,3.4230252369892002,-0.22116587802708543,-6.618008902073258e-05,1.2028704033080736e-05,7.407790743984351e-08,0.00013718744344717653,0.9999999905174553
2.322107405,9.235097822691024,3.4519423261397746,-0.22112930573598077,-6.690476664177389e-05,1.229246442260851e-05,7.538005143865034e-08,0.00013878374007308744,0.9999999902939818
2.341354539,9.310750761010718,3.4800317267713865,-0.22108620751299293,-6.762757093500573e-05,1.2556224950959207e-05,7.66804458057238e-08,0.0001403799964266122,0.9999999900678962
2.362508799,9.393874393029082,3.5108895250869283,-0.22103658338091298,-6.834847112224835e-05,1.2819985622193931e-05,7.797936686102043e-08,0.00014197621218175582,0.9999999898391987
2.383349157,9.475738270112299,3.5412740707005113,-0.22098043336599416,-6.90674364277366e-05,1.3083746440348688e-05,7.92773735943817e-08,0.00014357238736067285,0.9999999896078896
2.402796392,9.552106010338187,3.5696136195580057,-0.22091775749795162,-6.978443607823186e-05,1.3347507409460202e-05,8.057498519915694e-08,0.00014516852243631094,0.999999989373969
2.424186379,9.63607607528175,3.600768655787054,-0.22084855580996243,-7.049943930290361e-05,1.3611268533623652e-05,8.187237451423697e-08,0.00014676461818412224,0.9999999891374369
2.445557863,9.719945323826378,3.63188028871199,-0.22077282833866543,-7.121241533307861e-05,1.3875029817050967e-05,8.316924543652222e-08,0.00014836067536093335,0.9999999888982934
2.464945998,9.796006637336275,3.6600903057906966,-0.2206905751241612,-7.19233334020157e-05,1.4138791264097361e-05,8.446496408318223e-08,0.00014995669438312725,0.9999999886565388
2.48571325,9.877452199121336,3.690291694226356,-0.22060179621001214,-7.263216274484889e-05,1.4402552879240203e-05,8.575887727658177e-08,0.0001515526751781499,0.9999999884121731
2.5086413,9.967340360723417,3.72361699605716,-0.22050649164324204,-7.333887259875258e-05,1.4666314667020522e-05,8.705065075566907e-08,0.0001531486172918456,0.9999999881651965
2.526963248,10.039146460821533,3.7502333902064584,-0.22040466147433638,-7.404343220325965e-05,1.4930076631978011e-05,8.834044766197025e-08,0.00015474452019802347,0.9999999879156094
2.548937599,10.125238343937145,3.782139038485941,-0.22029630575724177,-7.474581080058112e-05,1.519383877861421e-05,8.962885182843677e-08,0.00015634038364872803,0.999999987663412
2.570028852,10.207840968234398,3.8127452982724757,-0.22018142454936623,-7.544597763577205e-05,1.5457601111404133e-05,9.091657547006034e-08,0.0001579362078816371,0.9999999874086045
2.591354541,10.291332198273679,3.843674511401238,-0.22006001791157886,-7.614390195667233e-05,1.5721363634850503e-05,9.220410494748456e-08,0.0001595319935766833,0.9999999871511869
2.611588955,10.370523337089416,3.8730048600572404,-0.21993208590820984,-7.683955301367258e-05,1.5985126353551466e-05,9.34914704749682e-08,0.0001611277415869941,0.9999999868911592
2.631632876,10.448942154821028,3.9020434500853813,-0.21979762860705007,-7.75329000594492e-05,1.6248889272245852e-05,9.477825887067749e-08,0.00016272345258854372,0.9999999866285215
2.653184834,10.533230959217013,3.933249312035634,-0.2196566460793513,-7.822391234882954e-05,1.6512652395811294e-05,9.606385850523737e-08,0.00016431912683486738,0.999999986363274
2.673056456,10.6109203002246,3.96200596952312,-0.21950913839982575,-7.891255913887469e-05,1.6776415729217005e-05,9.73478020288304e-08,0.00016591476414556139,0.9999999860954171
2.695384764,10.698182204010838,3.9942990792528072,-0.21935510564664618,-7.959880968914889e-05,1.7040179277456795e-05,9.863002129478823e-08,0.00016751036413111364,0.9999999858249505
2.71668255,10.781384890755808,4.0250832058963955,-0.21919454790144538,-8.02826332620408e-05,1.7303943045499618e-05,9.991087736850553e-08,0.00016910592652958972,0.999999985551875
2.736096443,10.857200632267073,4.053128423485946,-0.21902746524931657,-8.096399912297457e-05,1.7567707038285385e-05,1.0119095046198928e-07,0.00017070145147087394,0.9999999852761903
2.755277895,10.932082917857814,4.080822855376179,-0.21885385777881253,-8.164287654040836e-05,1.783147126076879e-05,1.0247070457067342e-07,0.00017229693952355472,0.9999999849978967
2.777326955,11.018128217302802,4.112639021771349,-0.21867372558194592,-8.231923478563697e-05,1.8095235717987672e-05,1.037502097608567e-07,0.0001738923914969951,0.9999999847169943
2.797092701,11.095233870784273,4.141143440058754,-0.2184870687541888,-8.299304313252407e-05,1.8359000415118503e-05,1.0502907482238425e-07,0.00017548780810358513,0.999999984433483
2.817677335,11.175504491752038,4.170811586755834,-0.2182938873944727,-8.366427085733017e-05,1.8622765357487838e-05,1.0630663046204252e-07,0.0001770831896625674,0.999999984147363
2.836798776,11.250042184930557,4.19835503744105,-0.21809418160518884,-8.433288723875345e-05,1.888653055053486e-05,1.0758225038125314e-07,0.00017867853600603156,0.9999999838586344
2.858262711,11.33367983448362,4.229254438769727,-0.21788795149219303,-8.499886155818658e-05,1.915029599975636e-05,1.0885556466875604e-07,0.0001802738466406372,0.9999999835672977
2.877246907,11.407626943912259,4.25656778389218,-0.21767519716479494,-8.566216310005887e-05,1.9414061710605953e-05,1.1012681263756684e-07,0.00018186912108248863,0.9999999832733528
2.898979741,11.492248216419808,4.2878168688436125,-0.21745591873576145,-8.63227611521156e-05,1.9677827688482837e-05,1.113966312153859e-07,0.00018346435919007538,0.9999999829768003
2.918768399,11.569269228734248,4.316252861268822,-0.21723011632131745,-8.698062500549062e-05,1.9941593938767662e-05,1.1266570527766079e-07,0.00018505956132083403,0.9999999826776399
2.940285353,11.652984169453404,4.347153203576403,-0.21699779004114572,-8.763572395454977e-05,2.0205360466891762e-05,1.1393442596144804e-07,0.0001866547282304039,0.999999982375872
2.96011161,11.730090639820816,4.375607735052594,-0.21675894001838697,-8.82880272966078e-05,2.0469127278407845e-05,1.1520270836364542e-07,0.00018824986077005596,0.9999999820714962
2.983230715,11.81996607251959,4.408766413679769,-0.21651356637963912,-8.893750433168791e-05,2.0732894379024106e-05,1.1647006200598173e-07,0.00018984495954427853,0.999999981764513
3.002396408,11.894441991262763,4.436237036612203,-0.21626166925495746,-8.958412436246895e-05,2.099666177458378e-05,1.1773587244279641e-07,0.00019144002471028983,0.9999999814549221
3.022727442,11.973415737514623,4.465360155331943,-0.21600324877785398,-9.022785669446332e-05,2.1260429471000985e-05,1.189997401955998e-07,0.00019303505602395204,0.999999981142724
3.042416866,12.049867028450393,4.493546610190969,-0.2157383050852973,-9.086867063634054e-05,2.1524197474189296e-05,1.2026169377002756e-07,0.00019463005310374343,0.999999980827919
3.064227023,12.134517921548742,4.524748666437076,-0.21546683831771238,-9.15065355002335e-05,2.178796579002139e-05,1.215221624228672e-07,0.00019622501576731474,0.999999980510507
3.084391739,12.21274956930537,4.553577575500227,-0.2151888486189802,-9.214142060187208e-05,2.2051734424342867e-05,1.2278172449951889e-07,0.00019781994425649148,0.9999999801904884
3.105122735,12.293145039211085,4.583196774686172,-0.2149043361364373,-9.277329526048574e-05,2.231550338303352e-05,1.2404076866814104e-07,0.0001994148392270248,0.999999979867863
3.125473636,12.372033601060725,4.612253758787823,-0.21461330102087595,-9.340212879854377e-05,2.2579272672082696e-05,1.2529925300843272e-07,0.00020100970150650473,0.999999979542631
3.145905777,12.451204092517333,4.641407520471723,-0.21431574342654314,-9.402789054149425e-05,2.284304229763713e-05,1.2655669504006015e-07,0.0002026045317494127,0.9999999792147922
3.166702916,12.53175471334736,4.671062182797211,-0.2140116635111409,-9.465054981766547e-05,2.3106812265994468e-05,1.2781240208959444e-07,0.00020419933017489596,0.9999999788843469
