time,x,y,z,qx,qy,qz,qw
1745009132.284072,4.365755383650305e-09,2.9560047573799838e-08,0.0,3.237758843063223e-14,-2.632322101429535e-15,0.999976972602329,0.006786329278862241
1745009132.305092,5.785544259684812e-06,2.716536435477269e-07,0.0,7.210274980248972e-13,6.4518933183037e-11,0.999976967939823,0.006787016272117569
1745009132.3246505,2.5768402231250844e-05,3.4285932474660986e-07,0.0,3.3425276840619088e-12,1.604044990197213e-10,0.999976963529365,0.006787666063602177
1745009132.3441548,5.817096327146682e-05,2.2461583018694012e-07,0.0,6.37758467711929e-12,2.6502656790714954e-10,0.9999769593647861,0.006788279572679501
1745009132.3642452,0.00010362425835831861,-7.064427323332009e-08,0.0,9.548573136873034e-12,3.5809892862569796e-10,0.9999769551994016,0.006788893144988454
1745009132.3873508,0.0001621282366304217,-5.431386825039926e-07,0.0,1.3013781281989363e-11,4.374125233235179e-10,0.9999769510336753,0.006789506712153525
1745009132.406507,0.0002336828359188004,-1.1928978931330896e-06,0.0,1.7105355380712636e-11,5.12634208671115e-10,0.999976946867609,0.006790120273988646
1745009132.4261467,0.0003182879803081814,-2.019944851372937e-06,0.0,2.1848347244109083e-11,5.919593479678853e-10,0.9999769427012042,0.006790733830202947
1745009132.4463274,0.00041594358004138726,-3.0243020194241384e-06,0.0,2.690483742435839e-11,6.758944462464443e-10,0.9999769385344603,0.006791347380902561
1745009132.466406,0.0005266495315158387,-4.205991660874889e-06,0.0,3.1987054330190496e-11,7.61030139083271e-10,0.9999769343673733,0.006791960926710309
1745009132.4869204,0.0006504057172838564,-5.565035850708256e-06,0.0,3.7272835994389764e-11,8.450185163000302e-10,0.999976930199938,0.006792574468372686
1745009132.5067446,0.0007872120060531789,-7.101456473668683e-06,0.0,4.336885270013728e-11,9.278050611460151e-10,0.999976926032152,0.006793188006234744
1745009132.5262394,0.0009370682526875296,-8.815275223412028e-06,0.0,5.0835164549967486e-11,1.0105054473195517e-09,0.9999769218640171,0.006793801540043578
1745009132.5464995,0.0010999742982072134,-1.0706513603738544e-05,0.0,5.972084657237816e-11,1.0938680566941879e-09,0.9999769176955369,0.006794415069270513
1745009132.5667458,0.0012759299697897607,-1.277519293070006e-05,0.0,6.955199099148953e-11,1.1774185421607632e-09,0.9999769135267129,0.006795028593666863
1745009132.5874329,0.0014649350807706468,-1.5021334333550237e-05,0.0,7.97804911510989e-11,1.2611617627643623e-09,0.9999769093575437,0.006795642113500187
